日期,样本数,硬异常数,软异常数,通过清洗数,特征缺失偏高数,平均特征缺失率,硬异常率,软异常率
2025-12-02,218,0,3,218,1,0.003182924545965175,0.0,0.013761467889908258
2025-12-03,218,0,4,218,1,0.002527616551207639,0.0,0.01834862385321101
2025-12-04,218,0,2,218,1,0.0020595394120951132,0.0,0.009174311926605505
2025-12-05,218,0,5,218,1,0.001872308556450103,0.0,0.022935779816513763
2025-12-08,218,0,2,218,0,0.0014978468451600823,0.0,0.009174311926605505
2025-12-09,218,0,3,218,0,0.0010297697060475566,0.0,0.013761467889908258
2025-12-10,218,0,3,218,0,0.0010297697060475566,0.0,0.013761467889908258
2025-12-11,218,0,3,218,0,0.0010297697060475566,0.0,0.013761467889908258
2025-12-12,218,0,3,218,0,0.0010297697060475566,0.0,0.013761467889908258
2025-12-15,218,0,0,218,0,0.000655307994757536,0.0,0.0
2025-12-16,218,0,4,218,0,0.00046807713911252576,0.0,0.01834862385321101
2025-12-17,218,0,4,218,0,0.00046807713911252576,0.0,0.01834862385321101
2025-12-18,219,0,3,219,0,0.0004659398005777654,0.0,0.0136986301369863
2025-12-19,219,0,4,219,0,0.0004659398005777654,0.0,0.0182648401826484
2025-12-22,219,0,4,219,0,0.0004659398005777654,0.0,0.0182648401826484
2025-12-23,219,0,6,219,0,0.0004659398005777654,0.0,0.0273972602739726
2025-12-24,219,0,6,219,0,0.0004659398005777654,0.0,0.0273972602739726
2025-12-25,220,0,2,220,1,0.0026901669758812616,0.0,0.00909090909090909
2025-12-26,220,0,5,220,1,0.0024118738404452686,0.0,0.022727272727272728
2025-12-29,220,0,6,220,1,0.0020408163265306124,0.0,0.02727272727272727
2025-12-30,220,0,6,220,1,0.0019480519480519483,0.0,0.02727272727272727
2025-12-31,220,0,4,220,0,0.0015769944341372912,0.0,0.01818181818181818
2026-01-05,220,0,9,220,0,0.0010204081632653062,0.0,0.04090909090909091
2026-01-06,220,0,6,220,0,0.0011131725417439704,0.0,0.02727272727272727
2026-01-07,220,0,3,220,0,0.0010204081632653062,0.0,0.013636363636363636
2026-01-08,220,0,7,220,0,0.0010204081632653062,0.0,0.031818181818181815
2026-01-09,220,0,5,220,0,0.0006493506493506494,0.0,0.022727272727272728
2026-01-12,220,0,8,220,0,0.0005565862708719852,0.0,0.03636363636363636
2026-01-13,220,0,5,220,0,0.00046382189239332097,0.0,0.022727272727272728
2026-01-14,220,0,4,220,0,0.00046382189239332097,0.0,0.01818181818181818
2026-01-15,221,0,8,221,1,0.00267799427463293,0.0,0.03619909502262444
2026-01-16,222,0,7,222,2,0.00459643316786174,0.0,0.03153153153153153
2026-01-19,222,0,9,222,2,0.004320647177790035,0.0,0.04054054054054054
2026-01-20,222,0,3,222,2,0.0042287185144327995,0.0,0.013513513513513514
2026-01-21,223,0,8,223,2,0.006040084195113022,0.0,0.03587443946188341
2026-01-22,223,0,9,223,1,0.004850370641530155,0.0,0.04035874439461883
2026-01-23,223,0,4,223,1,0.004026722796742015,0.0,0.017937219730941704
2026-01-26,223,0,14,223,1,0.003843689942344651,0.0,0.06278026905829596
2026-01-27,223,0,3,223,0,0.003477624233549922,0.0,0.013452914798206279
2026-01-28,223,0,7,223,0,0.002745492815960465,0.0,0.03139013452914798
2026-01-29,223,0,4,223,0,0.0021048778255696897,0.0,0.017937219730941704
2026-01-30,223,0,7,223,0,0.0019218449711723255,0.0,0.03139013452914798
2026-02-02,223,0,11,223,0,0.0022879106799670542,0.0,0.04932735426008968
2026-02-03,224,0,8,224,1,0.003826530612244898,0.0,0.03571428571428571
2026-02-04,224,0,4,224,1,0.003279883381924198,0.0,0.017857142857142856
2026-02-05,224,0,3,224,1,0.003279883381924198,0.0,0.013392857142857142
2026-02-06,224,0,6,224,1,0.0031887755102040817,0.0,0.026785714285714284
2026-02-09,224,0,4,224,0,0.0028243440233236155,0.0,0.017857142857142856
2026-02-10,224,0,1,224,0,0.0023688046647230322,0.0,0.004464285714285714
2026-02-11,224,0,5,224,0,0.0020043731778425656,0.0,0.022321428571428572
2026-02-12,224,0,5,224,0,0.0016399416909620992,0.0,0.022321428571428572
2026-02-13,224,0,2,224,0,0.001457725947521866,0.0,0.008928571428571428
2026-02-24,223,0,8,223,0,0.0010981971263841859,0.0,0.03587443946188341
2026-02-25,223,0,6,223,0,0.0005490985631920929,0.0,0.026905829596412557
2026-02-26,223,0,2,223,0,0.0004575821359934108,0.0,0.008968609865470852
2026-02-27,223,0,6,223,0,0.0004575821359934108,0.0,0.026905829596412557
2026-03-02,223,0,7,223,0,0.0004575821359934108,0.0,0.03139013452914798
2026-03-03,223,0,6,223,0,0.0004575821359934108,0.0,0.026905829596412557
2026-03-04,223,0,1,223,0,0.0004575821359934108,0.0,0.004484304932735426
2026-03-05,224,0,2,224,1,0.0026421282798833818,0.0,0.008928571428571428
2026-03-06,224,0,3,224,1,0.002368804664723032,0.0,0.013392857142857142
2026-03-09,225,0,3,225,1,0.0023582766439909295,0.0,0.013333333333333334
2026-03-10,225,0,2,225,1,0.001904761904761905,0.0,0.008888888888888889
2026-03-11,225,0,1,225,0,0.0014512471655328796,0.0,0.0044444444444444444
2026-03-12,225,0,3,225,0,0.000997732426303855,0.0,0.013333333333333334
2026-03-13,225,0,5,225,0,0.0010884353741496598,0.0,0.022222222222222223
2026-03-16,225,0,1,225,0,0.0010884353741496598,0.0,0.0044444444444444444
2026-03-17,225,0,4,225,0,0.000997732426303855,0.0,0.017777777777777778
2026-03-18,226,0,7,226,1,0.002799349828426946,0.0,0.030973451327433628
2026-03-19,226,0,3,226,1,0.00234784179158389,0.0,0.01327433628318584
2026-03-20,226,0,2,226,1,0.00234784179158389,0.0,0.008849557522123894
2026-03-23,226,0,8,226,1,0.002257540184215279,0.0,0.035398230088495575
2026-03-24,226,0,4,226,0,0.0018963337547408343,0.0,0.017699115044247787
2026-03-25,226,0,8,226,0,0.0016254289326350006,0.0,0.035398230088495575
2026-03-26,226,0,4,226,0,0.0014448257178977786,0.0,0.017699115044247787
