日期,代码,名称,行业,板块,开盘,收盘,最高,最低,成交量,成交额,涨跌幅,振幅,换手率,卖出日,5日后的实际涨跌幅,数据质量问题,是否硬异常,是否软异常
2025-05-16,600699,均胜电子,汽车零部件,沪市主板,16.9584088,18.32888486,18.32888486,16.9584088,66365489.0,1210931830.35,10.0,8.22,4.851,2025-05-23,0.0344271113501881,接近涨停极端行情,0,1
2025-05-16,603350,安乃达,电机Ⅱ,沪市主板,37.87711098,42.01040899,42.01040899,37.35676705,9187374.0,374652481.57,10.0,12.19,31.6806,2025-05-23,-0.0675391446599673,接近涨停极端行情,0,1
2025-05-16,603665,康隆达,服装家纺,沪市主板,19.86,22.08,22.08,19.86,9518136.0,203862313.88,10.0149,11.06,5.9426,2025-05-23,0.0625000000000002,接近涨停极端行情,0,1
2025-05-19,000935,四川双马,多元金融,深市主板,16.88,17.5,17.5,16.88,30766628.0,529397900.96,9.9937,3.9,4.03,2025-05-26,-0.0594285714285713,接近涨停极端行情,0,1
2025-05-19,002190,成飞集成,汽车零部件,深市主板,38.33,39.48,39.48,36.81,65388511.0,2519030880.59,10.0028,7.44,18.2278,2025-05-26,-0.1309523809523808,接近涨停极端行情,0,1
2025-05-19,603014,威高血净,医疗器械,沪市主板,49.78284144,41.23839696,49.78284144,41.20852128,26568240.0,1150187686.48,56.2642,0.0,69.7099,2025-05-26,-0.1270224583433954,涨跌幅极端异常;接近涨停极端行情,0,1
2025-05-20,001336,楚环科技,环保设备Ⅱ,深市主板,20.15294105,22.1692284,22.1692284,19.9046298,4388022.0,93750822.42,10.0049,11.24,15.3657,2025-05-27,-0.0725806451612903,接近涨停极端行情,0,1
2025-05-21,002074,国轩高科,电池,深市主板,24.17232725,26.56464005,26.56464005,24.17232725,127905049.0,3329746385.32,9.9876,9.91,7.4103,2025-05-28,-0.0652908067542213,接近涨停极端行情,0,1
2025-05-21,002190,成飞集成,汽车零部件,深市主板,41.25,38.25,41.65,38.25,89952015.0,3557224312.36,-10.0,8.0,25.0752,2025-05-28,-0.1430065359477124,接近跌停极端行情,0,1
2025-05-21,002580,圣阳股份,电池,深市主板,12.2653755,13.5816597,13.5816597,12.19557255,64276728.0,843565757.56,10.0162,11.23,14.2099,2025-05-28,0.0396475770925111,接近涨停极端行情,0,1
2025-05-21,601069,西部黄金,贵金属,沪市主板,16.74572477,17.99242852,17.99242852,16.47643676,46035995.0,788412198.71,10.0,9.27,6.7305,2025-05-28,0.0154271270102008,接近涨停极端行情,0,1
2025-05-22,001279,强邦新材,包装印刷,深市主板,40.2407373,43.77499305,43.77499305,40.09140255,9857057.0,422600881.42,10.0075,9.26,26.1989,2025-05-29,0.0231976347509665,接近涨停极端行情,0,1
2025-05-22,002989,中天精装,装修装饰Ⅱ,深市主板,31.59,34.52,34.52,31.1,9831378.0,328927892.14,10.0064,10.9,5.3752,2025-05-29,-0.0011587485515645,接近涨停极端行情,0,1
2025-05-28,002190,成飞集成,汽车零部件,深市主板,35.0,32.78,35.38,32.67,70534837.0,2388686311.29,-9.697,7.47,19.6624,2025-06-05,0.1802928615009151,接近跌停极端行情,0,1
2025-05-28,600612,老凤祥,饰品,沪市主板,47.05110017,52.11799409,52.11799409,47.05110017,9240995.0,487745895.26,10.0061,10.69,2.9141,2025-06-05,-0.0543178051924139,接近涨停极端行情,0,1
2025-05-29,001277,速达股份,专用设备,深市主板,37.87,41.66,41.66,37.87,2980411.0,119935059.44,10.0079,10.01,15.6864,2025-06-06,0.0336053768602977,接近涨停极端行情,0,1
2025-05-29,603127,昭衍新药,医疗服务,沪市主板,16.56545934,18.15406491,18.15406491,16.35564351,45811747.0,803469749.57,9.9879,10.9,7.2661,2025-06-06,0.0374243258117776,接近涨停极端行情,0,1
2025-05-29,603194,中力股份,工程机械,沪市主板,33.3505176,36.68752655,36.68752655,33.3505176,12065259.0,442042799.79,10.0059,10.01,24.2136,2025-06-06,0.0642838090157376,接近涨停极端行情,0,1
2025-05-29,603261,*ST立航,航空装备Ⅱ,沪市主板,18.1,18.96,18.96,18.06,2217600.0,41410286.0,4.9834,4.98,2.8612,2025-06-06,0.0796413502109703,接近涨停极端行情,0,1
2025-05-29,920748,路桥信息,IT服务Ⅱ,北交所,29.19,38.28,38.28,28.5,73341.0,248874743.45,30.07,33.23,11.76,2025-06-06,0.5645245559038663,涨跌幅极端异常;接近涨停极端行情,0,1
2025-05-30,603194,中力股份,工程机械,沪市主板,37.47040255,40.3572578,40.3572578,37.47040255,20550758.0,824918400.93,10.0027,7.87,41.243,2025-06-09,0.0642580019398642,接近涨停极端行情,0,1
2025-05-30,920748,路桥信息,IT服务Ⅱ,北交所,44.44,49.79,49.79,40.93,105662.0,468373560.12,30.07,23.15,16.95,2025-06-09,0.5641695119501908,涨跌幅极端异常;接近涨停极端行情,0,1
2025-06-03,002940,昂利康,化学制药,深市主板,15.1662775,16.4790307,16.4790307,14.8778696,11593181.0,186289997.23,10.0266,10.69,6.2573,2025-06-10,0.4327097163548581,接近涨停极端行情,0,1
2025-06-03,601069,西部黄金,贵金属,沪市主板,18.29,19.64,19.64,18.25,37128564.0,711258401.8,10.028,7.79,5.4282,2025-06-10,-0.0208757637474541,接近涨停极端行情,0,1
2025-06-03,603261,*ST立航,航空装备Ⅱ,沪市主板,18.81,19.62,19.62,18.81,2793300.0,54062676.0,4.9759,4.33,3.604,2025-06-10,0.0152905198776758,接近涨停极端行情,0,1
2025-06-04,002956,西麦食品,休闲食品,深市主板,22.1127075,23.89155197,23.89155197,21.76873205,8749157.0,203832271.87,10.0,9.77,3.9194,2025-06-11,-0.0123406005758945,接近涨停极端行情,0,1
2025-06-04,603099,长白山,旅游及景区,沪市主板,32.94689372,36.40921114,36.40921114,32.80720368,24261792.0,852436277.56,10.009,10.88,9.0981,2025-06-11,0.0238421485338451,接近涨停极端行情,0,1
2025-06-05,002134,天津普林,元件,深市主板,20.9,23.17,23.17,20.9,11748882.0,262293677.3,10.019,10.78,4.7789,2025-06-12,0.0897712559343979,接近涨停极端行情,0,1
2025-06-05,603657,春光科技,家电零部件Ⅱ,沪市主板,23.5228233,25.969996,25.969996,23.14326182,19320900.0,481411468.4,9.9831,11.97,14.2917,2025-06-12,0.2853294240014516,接近涨停极端行情,0,1
2025-06-05,920748,路桥信息,IT服务Ⅱ,北交所,42.9,57.64,57.64,42.45,87361.0,416384564.04,30.05,34.27,14.01,2025-06-12,0.4637404580152673,涨跌幅极端异常;接近涨停极端行情,0,1
2025-06-06,000603,盛达资源,贵金属,深市主板,14.5058008,15.3006392,15.3006392,14.42631696,39441224.0,590219325.15,10.0,6.29,5.9157,2025-06-13,0.0220779220779219,接近涨停极端行情,0,1
2025-06-06,002940,昂利康,化学制药,深市主板,17.7321133,19.5122862,19.5122862,17.2547485,29548865.0,549190390.45,9.9776,12.72,15.9486,2025-06-13,0.3430173292558613,接近涨停极端行情,0,1
2025-06-09,002940,昂利康,化学制药,深市主板,20.6360825,21.4615258,21.4615258,20.6360825,16235145.0,347329052.93,9.9898,4.23,8.7627,2025-06-16,0.3433734939759034,接近涨停极端行情,0,1
2025-06-09,600520,三佳科技,专用设备,沪市主板,30.31,30.31,30.31,29.49,13686401.0,413397993.31,10.0181,2.98,8.6388,2025-06-16,-0.0808314087759815,接近涨停极端行情,0,1
2025-06-09,603194,中力股份,工程机械,沪市主板,39.6330975,42.95053455,42.95053455,39.19272975,11901393.0,505194436.96,10.0,9.62,23.8847,2025-06-16,-0.024355377202168,接近涨停极端行情,0,1
2025-06-09,920748,路桥信息,IT服务Ⅱ,北交所,61.67,77.88,77.88,58.71,97771.0,661182487.49,30.04,32.01,15.68,2025-06-16,0.1684643040575244,涨跌幅极端异常;接近涨停极端行情,0,1
2025-06-10,002940,昂利康,化学制药,深市主板,23.6096674,23.6096674,23.6096674,23.072632,9616181.0,227979150.52,10.0093,2.5,5.1902,2025-06-17,0.221988205560236,接近涨停极端行情,0,1
