代码,名称,行业,板块,交易所,样本数,硬异常数,软异常数,通过清洗数,特征缺失偏高数,平均特征缺失率,硬异常率,软异常率
920092,汉鑫科技,IT服务Ⅱ,北交所,北交所,260,0,2,260,4,0.015620094191522764,0.0,0.007692307692307693
920177,恒道科技,通用设备,北交所,北交所,18,0,1,18,4,0.21882086167800452,0.0,0.05555555555555555
920055,隆源股份,汽车零部件,北交所,北交所,29,0,1,29,4,0.14004222378606615,0.0,0.034482758620689655
920187,通领科技,汽车零部件,北交所,北交所,47,0,1,47,4,0.08640903169778551,0.0,0.02127659574468085
920050,爱舍伦,医疗器械,北交所,北交所,72,0,1,72,4,0.05640589569160998,0.0,0.013888888888888888
920086,科马材料,汽车零部件,北交所,北交所,75,0,1,75,4,0.054149659863945585,0.0,0.013333333333333334
920121,江天科技,包装印刷,北交所,北交所,89,0,1,89,4,0.04563173584040358,0.0,0.011235955056179775
920035,精创电气,自动化设备,北交所,北交所,106,0,1,106,4,0.038313438582980364,0.0,0.009433962264150943
920003,中诚咨询,工程咨询服务Ⅱ,北交所,北交所,123,0,1,123,4,0.03301808528289365,0.0,0.008130081300813009
920112,巴兰仕,专用设备,北交所,北交所,168,0,1,168,4,0.024173955296404277,0.0,0.005952380952380952
920018,宏远股份,电网设备,北交所,北交所,174,0,1,174,4,0.023340370631011027,0.0,0.005747126436781609
920101,志高机械,工程机械,北交所,北交所,178,0,1,178,4,0.02281586792020179,0.0,0.0056179775280898875
920005,鼎佳精密,消费电子,北交所,北交所,188,0,1,188,4,0.021602257924446377,0.0,0.005319148936170213
001388,信通电子,电网设备,深市主板,深交所,210,0,1,210,4,0.01943169612342545,0.0,0.004761904761904762
600171,上海贝岭,半导体,沪市主板,上交所,261,0,1,261,4,0.01577708006279435,0.0,0.0038314176245210726
000513,丽珠集团,化学制药,深市主板,深交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
000792,盐湖股份,农化制品,深市主板,深交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
000933,神火股份,工业金属,深市主板,深交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
002138,顺络电子,元件,深市主板,深交所,261,0,1,261,4,0.015698587127158554,0.0,0.0038314176245210726
