交易所,板块,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,振幅,时间戳,行业,原始代码,数据源
深交所,深市主板,002891,中宠股份,31.03,-0.21999999999999886,-0.7039999999999964,31.25,31.22,31.59,30.81,6462031.0,201567682.35,2.496000000000004,2026-05-15 15:00:00,饲料,sz002891,sina_snapshot
深交所,深市主板,002895,川恒股份,34.18,-0.030000000000001137,-0.08769365682549295,34.21,34.6,35.3,33.88,7730235.0,267953870.02,4.150833089739827,2026-05-15 15:00:00,农化制品,sz002895,sina_snapshot
深交所,深市主板,002899,英派斯,32.35,-0.25,-0.7668711656441718,32.6,32.01,32.77,31.92,3466100.0,112088277.0,2.6073619631901885,2026-05-15 15:00:00,文娱用品,sz002899,sina_snapshot
深交所,深市主板,002902,铭普光磁,39.6,0.480000000000004,1.226993865030685,39.12,38.66,43.03,38.66,55407334.0,2285891273.98,11.17075664621678,2026-05-15 15:00:00,通信设备,sz002902,sina_snapshot
深交所,深市主板,002906,华阳集团,31.6,0.8900000000000006,2.898078801693261,30.71,30.68,32.24,30.6,11239316.0,354818854.56,5.340280039075221,2026-05-15 15:00:00,汽车零部件,sz002906,sina_snapshot
深交所,深市主板,002921,联诚精密,31.01,0.10000000000000142,0.3235198964736377,30.91,30.94,32.52,30.32,8494390.0,267210573.5,7.117437722419938,2026-05-15 15:00:00,汽车零部件,sz002921,sina_snapshot
深交所,深市主板,002933,新兴装备,30.33,0.23999999999999844,0.7976071784646009,30.09,30.09,30.8,29.85,1911587.0,57823087.62,3.1571950814223975,2026-05-15 15:00:00,航空装备Ⅱ,sz002933,sina_snapshot
深交所,深市主板,002937,兴瑞科技,33.79,0.0799999999999983,0.23731830317412725,33.71,33.71,34.02,33.1,8060902.0,271042262.48,2.7291604865025265,2026-05-15 15:00:00,汽车零部件,sz002937,sina_snapshot
深交所,深市主板,002940,昂利康,43.23,3.1599999999999966,7.8861991514848935,40.07,40.83,43.98,39.9,53324111.0,2241494433.72,10.182181182929869,2026-05-15 15:00:00,化学制药,sz002940,sina_snapshot
深交所,深市主板,002956,西麦食品,30.38,-0.41000000000000014,-1.3316011692107832,30.79,30.72,30.8,30.23,3010588.0,91570943.2,1.8512504059759671,2026-05-15 15:00:00,休闲食品,sz002956,sina_snapshot
深交所,深市主板,002965,祥鑫科技,35.82,1.1300000000000026,3.2574228884404803,34.69,34.69,36.5,34.69,16446299.0,590247041.26,5.217641971749791,2026-05-15 15:00:00,汽车零部件,sz002965,sina_snapshot
深交所,深市主板,002971,和远气体,41.21,3.75,10.010678056593699,37.46,36.79,41.21,34.8,31960930.0,1201785499.13,17.111585691404173,2026-05-15 15:00:00,化学制品,sz002971,sina_snapshot
深交所,深市主板,002976,瑞玛精密,34.5,-1.8699999999999974,-5.1416002199615,36.37,37.07,37.45,34.1,10901401.0,383137274.55,9.210888094583453,2026-05-15 15:00:00,汽车零部件,sz002976,sina_snapshot
深交所,深市主板,002977,*ST天箭,29.97,-0.5199999999999996,-1.7054772056411927,30.49,30.1,30.48,29.3,2608060.0,77848420.92,3.8701213512627084,2026-05-15 15:00:00,军工电子Ⅱ,sz002977,sina_snapshot
深交所,深市主板,002978,安宁股份,29.77,-1.0100000000000016,-3.2813515269655666,30.78,30.76,30.76,29.65,5326252.0,160298046.17,3.6062378167641422,2026-05-15 15:00:00,小金属,sz002978,sina_snapshot
深交所,深市主板,002985,北摩高科,33.49,-0.4199999999999946,-1.238572692421099,33.91,33.91,34.1,33.31,5127772.0,172095502.86,2.3296962547920947,2026-05-15 15:00:00,航空装备Ⅱ,sz002985,sina_snapshot
深交所,深市主板,002988,豪美新材,31.32,-0.3099999999999987,-0.9800822004426137,31.63,31.63,32.4,31.16,3124977.0,98734498.83,3.920328801770466,2026-05-15 15:00:00,工业金属,sz002988,sina_snapshot
深交所,深市主板,002989,中天精装,32.43,0.10999999999999943,0.34034653465346354,32.32,32.31,33.73,31.96,9843432.0,322567592.35,5.476485148514839,2026-05-15 15:00:00,装修装饰Ⅱ,sz002989,sina_snapshot
深交所,深市主板,002997,瑞鹄模具,35.05,0.25,0.7183908045977012,34.8,34.95,35.55,34.11,10541245.0,368762720.41,4.137931034482753,2026-05-15 15:00:00,汽车零部件,sz002997,sina_snapshot
深交所,深市主板,003017,大洋生物,33.45,1.0200000000000031,3.1452358926919617,32.43,32.84,34.98,32.53,8580862.0,290278313.19,7.554733271662029,2026-05-15 15:00:00,化学原料,sz003017,sina_snapshot
深交所,深市主板,003019,宸展光电,36.55,2.809999999999995,8.328393598103128,33.74,34.15,36.6,33.51,14742748.0,523335092.06,9.15826911677535,2026-05-15 15:00:00,光学光电子,sz003019,sina_snapshot
深交所,深市主板,003023,彩虹集团,30.47,-0.4299999999999997,-1.3915857605177984,30.9,30.81,30.9,29.83,4077500.0,123501768.0,3.462783171521037,2026-05-15 15:00:00,小家电,sz003023,sina_snapshot
上交所,沪市主板,600036,招商银行,37.65,-0.1600000000000037,-0.4231684739487006,37.81,37.81,37.97,37.61,82173796.0,3101358446.0,0.9521290663845527,2026-05-15 15:00:03,银行Ⅱ,sh600036,sina_snapshot
上交所,沪市主板,600038,中直股份,30.2,-0.3500000000000014,-1.145662847790512,30.55,30.56,30.67,30.07,6758474.0,204634614.0,1.96399345335516,2026-05-15 15:00:03,航空装备Ⅱ,sh600038,sina_snapshot
上交所,沪市主板,600066,XD宇通客,32.79,-0.21000000000000085,-0.636363636363639,33.0,33.05,33.28,32.45,14951490.0,490421473.0,2.51515151515151,2026-05-15 15:00:01,商用车,sh600066,sina_snapshot
上交所,沪市主板,600096,云天化,32.35,0.00999999999999801,0.030921459492881907,32.34,32.23,33.14,32.19,41393793.0,1352037222.0,2.9375386518243745,2026-05-15 15:00:01,农化制品,sh600096,sina_snapshot
